"* Required Fields","* Required Fields"
"Adds a hidden field that bots fill in — zero dependency, works everywhere.","Adds a hidden field that bots fill in — zero dependency, works everywhere."
"Allow headless frontends to submit contact forms via the API.","Allow headless frontends to submit contact forms via the API."
"Auto Reply","Auto Reply"
"Comment","Comment"
"Contact Form","Contact Form"
"Contact Form Auto Reply","Contact Form Auto Reply"
"Contact Information","Contact Information"
"Contacts","Contacts"
"Contact Us","Contact Us"
"Contact Us Form","Contact Us Form"
"Email","Email"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Enable Auto Reply","Enable Auto Reply"
"Enable Contact API","Enable Contact API"
"Enable Contact Us","Enable Contact Us"
"Enable Honeypot Field","Enable Honeypot Field"
"Invalid Form Key. Please submit your request again.","Invalid Form Key. Please submit your request again."
"Name","Name"
"Send Emails To","Send Emails To"
"Submit","Submit"
"Telephone","Telephone"
"Unable to submit your request. Please try again later","Unable to submit your request. Please try again later."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
